Tablica	Insertion Sort Porownania	Insertion Sort Przestawienia	Insertion Sort Czas	Insertion Sort c/n	Insertion Sort s/n	Merge Sort Porownania	Merge Sort Przestawienia	Merge Sort Czas	Merge Sort c/n	Czas	Merge Sort s/n	Quick Sort Porownania	Quick Sort Przestawienia	Quick Sort Czas	Quick Sort c/n	Czas	Quick Sort s/n	Dual-pivot Quick Sort Porownania	Dual-pivot Quick Sort Przestawienia	Dual-pivot Quick Sort Czas	Dual-pivot Quick Sort c/n	Dual-pivot Quick Sort s/n
5700	64038	143216	6.191	11	25	53500	18373	2.147	9	3	76037	45904	3.79	13	8
5800	65326	146016	6.333	11	25	55268	18556	2.238	9	3	73326	45644	3.505	12	7
5900	66539	148816	6.345	11	25	57795	18835	2.255	9	3	77860	51666	3.794	13	8
6000	67796	151616	6.451	11	25	62459	19303	2.581	10	3	76632	49525	4.074	12	8
6100	69173	154416	7.001	11	25	59458	19561	2.474	9	3	82858	49862	4.177	13	8
6200	70430	157216	7.109	11	25	68055	19641	2.749	10	3	83305	49808	4.047	13	8
6300	71709	160016	6.881	11	25	59225	20366	2.36	9	3	85051	54399	4.132	13	8
6400	72940	162816	7.014	11	25	59050	20855	2.372	9	3	86727	46277	3.959	13	7
6500	74227	165616	7.383	11	25	68876	20806	2.684	10	3	88003	55022	4.256	13	8
6600	75593	168416	7.258	11	25	61610	21544	2.484	9	3	89424	47764	4.077	13	7
6700	76813	171216	7.367	11	25	67990	21691	2.603	10	3	91628	52229	4.186	13	7
6800	78102	174016	7.29	11	25	65667	22173	2.551	9	3	98896	50723	4.298	14	7
6900	79414	176816	7.379	11	25	70108	22434	2.754	10	3	89914	51342	4.422	13	7
7000	80705	179616	8.116	11	25	72789	22652	3.057	10	3	91061	57618	4.877	13	8
7100	81999	182416	8.611	11	25	75695	23021	2.986	10	3	96665	58697	4.505	13	8
7200	83256	185216	8.966	11	25	74826	23358	3.233	10	3	99408	53592	4.636	13	7
7300	84496	188016	8.119	11	25	71748	24024	3.054	9	3	102462	62732	5.052	14	8
7400	85908	190816	8.257	11	25	74841	24295	2.956	10	3	100213	57709	4.715	13	7
7500	87103	193616	8.379	11	25	72353	24618	2.914	9	3	106257	63771	5.097	14	8
7600	88419	196416	8.686	11	25	80455	24930	3.18	10	3	104056	62510	5.194	13	8
7700	89765	199216	8.75	11	25	78352	25286	3.248	10	3	104655	63472	5.113	13	8
