Tablica	MergeSort-Porownania	MergeSort-Przestawienia	MergeSort-Czas	MergeSort-c/n	MergeSort-s/n	QuickSort-Porownania	QuickSort-Przestawienia	QuickSort-Czas	QuickSort-c/n	QuickSort-s/n	Dual-pivotQuickSort-Porownania	Dual-pivotQuickSort-Przestawienia	Dual-pivotQuickSort-Czas	Dual-pivotQuickSort-c/n	Dual-pivotQuickSort-s/n	Hybrid-Porownania	Hybrid-Przestawienia	Hybrid-Czas	Hybrid-c/n	Hybrid-s/n
1	0	0	0	0	0	0	1	0	0	1	1	4	0	1	4	0	1	0	0	1
2	1	2	0	0	1	0	1	0	0	0	1	4	0	0	2	0	1	0	0	0
3	3	5	0	1	1	1	2	0	0	0	3	9	0	1	3	2	3	0	0	1
4	5	8	0	1	2	3	3	0	0	0	6	13	0	1	3	3	4	0	0	1
5	6	12	0	1	2	6	4	0	1	0	8	13	0	1	2	8	9	0	1	1
6	11	16	0	1	2	9	5	0	1	0	9	14	0	1	2	6	7	0	1	1
7	14	20	0	2	2	11	7	0	1	1	12	18	0	1	2	13	14	0	1	2
8	16	24	0	2	3	15	6	0	1	0	16	24	0	2	3	21	22	0	2	2
9	19	29	0	2	3	9	10	0	1	1	21	32	0	2	3	16	20	0	1	2
10	22	34	0	2	3	16	11	0	1	1	24	34	0	2	3	10	17	0	1	1
11	25	39	0	2	3	21	11	0	1	1	26	30	0	2	2	37	38	0	3	3
12	32	44	0	2	3	23	13	0	1	1	31	42	0	2	3	27	31	0	2	2
13	33	49	0	2	3	36	15	0	2	1	47	55	0	3	4	27	34	0	2	2
14	35	54	0	2	3	24	16	0	1	1	59	50	0	4	3	21	31	0	1	2
15	41	59	0	2	3	41	17	0	2	1	50	50	0	3	3	40	19	0	2	1
16	46	64	0	2	4	29	20	0	1	1	53	63	0	3	3	32	23	0	2	1
17	51	70	0	3	4	41	23	0	2	1	53	61	0	3	3	41	26	0	2	1
18	55	76	0.001	3	4	42	22	0	2	1	64	59	0	3	3	40	23	0	2	1
19	61	82	0	3	4	44	24	0	2	1	70	67	0	3	3	44	24	0	2	1
20	63	88	0	3	4	53	25	0	2	1	70	86	0	3	4	52	34	0	2	1
21	68	94	0	3	4	50	25	0	2	1	68	78	0	3	3	49	37	0	2	1
22	69	100	0	3	4	40	31	0	1	1	71	84	0	3	3	43	41	0	1	1
23	77	106	0	3	4	59	31	0	2	1	90	81	0	3	3	61	36	0	2	1
24	82	112	0	3	4	54	32	0	2	1	99	81	0	4	3	56	44	0	2	1
