Tablica	MergeSort-Porownania	MergeSort-Przestawienia	MergeSort-Czas	MergeSort-c/n	MergeSort-s/n	QuickSort-Porownania	QuickSort-Przestawienia	QuickSort-Czas	QuickSort-c/n	QuickSort-s/n	Dual-pivotQuickSort-Porownania	Dual-pivotQuickSort-Przestawienia	Dual-pivotQuickSort-Czas	Dual-pivotQuickSort-c/n	Dual-pivotQuickSort-s/n	Hybrid-Porownania	Hybrid-Przestawienia	Hybrid-Czas	Hybrid-c/n	Hybrid-s/n
25	92	118	0	3	4	77	35	0	3	1	108	93	0	4	3	78	36	0	3	1
26	93	124	0	3	4	71	38	0	2	1	102	104	0	3	4	87	58	0	3	2
27	97	130	0	3	4	110	34	0	4	1	107	110	0	3	4	110	34	0	4	1
28	105	136	0	3	4	86	38	0	3	1	107	106	0	3	3	84	39	0	3	1
29	112	142	0	3	4	77	45	0	2	1	112	106	0	3	3	81	53	0	2	1
30	113	148	0	3	4	71	47	0	2	1	141	118	0	4	3	74	61	0	2	2
31	118	154	0	3	4	85	47	0	2	1	141	133	0	4	4	80	52	0	2	1
32	122	160	0	3	5	88	47	0	2	1	138	127	0	4	3	88	47	0	2	1
33	123	167	0	3	5	77	51	0	2	1	141	119	0	4	3	77	51	0	2	1
34	126	174	0	3	5	117	44	0	3	1	157	156	0	4	4	118	46	0	3	1
35	139	181	0	3	5	158	50	0	4	1	163	139	0	4	3	157	51	0	4	1
36	143	188	0	3	5	126	49	0	3	1	150	139	0	4	3	127	50	0	3	1
37	153	195	0	4	5	111	54	0	3	1	158	142	0	4	3	110	64	0	2	1
38	153	202	0	4	5	112	55	0	2	1	164	154	0	4	4	112	55	0	2	1
39	160	209	0	4	5	145	54	0	3	1	176	153	0	4	3	145	54	0	3	1
40	166	216	0	4	5	168	56	0	4	1	177	183	0	4	4	168	56	0	4	1
41	171	223	0	4	5	153	59	0	3	1	169	146	0	4	3	153	59	0	3	1
42	176	230	0	4	5	210	64	0	5	1	184	178	0	4	4	209	65	0	4	1
43	175	237	0	4	5	118	72	0	2	1	195	174	0	4	4	124	83	0	2	1
44	189	244	0	4	5	205	67	0	4	1	191	195	0	4	4	204	67	0	4	1
45	195	251	0	4	5	144	69	0	3	1	191	187	0	4	4	144	69	0	3	1
46	199	258	0	4	5	136	74	0	2	1	228	194	0	4	4	136	74	0	2	1
47	206	265	0	4	5	188	65	0	4	1	290	202	0	6	4	192	82	0	4	1
48	211	272	0	4	5	247	67	0	5	1	265	200	0	5	4	247	67	0	5	1
49	211	279	0	4	5	143	81	0	2	1	229	195	0	4	3	143	81	0	2	1
50	215	286	0	4	5	154	84	0	3	1	258	211	0	5	4	154	84	0	3	1
51	223	293	0	4	5	182	75	0	3	1	270	215	0	5	4	182	75	0	3	1
52	228	300	0	4	5	170	83	0	3	1	274	235	0	5	4	170	83	0	3	1
53	242	307	0	4	5	160	83	0	3	1	253	212	0	4	4	160	83	0	3	1
54	246	314	0	4	5	181	91	0	3	1	273	206	0.011	5	3	181	91	0	3	1
55	245	321	0	4	5	208	89	0	3	1	287	246	0	5	4	208	89	0	3	1
56	261	328	0	4	5	204	92	0.001	3	1	295	259	0	5	4	204	92	0	3	1
57	256	335	0	4	5	311	90	0	5	1	298	252	0	5	4	312	93	0	5	1
58	272	342	0	4	5	270	96	0.001	4	1	335	255	0	5	4	270	103	0	4	1
59	275	349	0	4	5	193	101	0	3	1	297	239	0	5	4	193	101	0	3	1
60	280	356	0	4	5	212	97	0	3	1	313	281	0	5	4	212	97	0	3	1
61	287	363	0	4	5	221	98	0	3	1	318	275	0	5	4	221	118	0	3	1
62	287	370	0	4	5	253	99	0	4	1	359	266	0	5	4	243	115	0	3	1
63	296	377	0	4	5	210	107	0	3	1	413	304	0	6	4	210	107	0	3	1
64	303	384	0	4	6	226	103	0	3	1	480	308	0	7	4	226	103	0	3	1
65	313	392	0	4	6	280	109	0	4	1	365	247	0	5	3	282	113	0	4	1
66	317	400	0	4	6	218	113	0	3	1	344	263	0	5	3	218	113	0	3	1
67	327	408	0	4	6	232	119	0	3	1	363	321	0	5	4	232	119	0	3	1
68	334	416	0	4	6	230	120	0	3	1	446	279	0	6	4	230	120	0	3	1
69	337	424	0	4	6	218	124	0	3	1	350	324	0	5	4	218	124	0	3	1
70	337	432	0	4	6	403	114	0	5	1	401	332	0	5	4	403	114	0	5	1
71	351	440	0	4	6	257	123	0	3	1	530	299	0	7	4	257	123	0	3	1
72	365	448	0	5	6	296	126	0	4	1	387	329	0	5	4	296	126	0	4	1
73	357	456	0	4	6	298	128	0	4	1	403	324	0	5	4	298	128	0	4	1
74	363	464	0	4	6	288	128	0	3	1	505	339	0	6	4	288	128	0	3	1
75	369	472	0	4	6	279	134	0	3	1	427	327	0	5	4	279	134	0	3	1
76	375	480	0	4	6	324	124	0	4	1	442	346	0	5	4	324	124	0	4	1
77	390	488	0	5	6	275	133	0	3	1	446	369	0	5	4	275	133	0	3	1
78	385	496	0	4	6	281	141	0	3	1	431	342	0	5	4	281	141	0	3	1
79	397	504	0	5	6	320	137	0	4	1	411	357	0	5	4	320	137	0	4	1
80	405	512	0	5	6	311	140	0	3	1	453	388	0	5	4	311	140	0	3	1
81	409	520	0	5	6	305	141	0	3	1	444	362	0	5	4	305	141	0	3	1
82	434	528	0	5	6	334	144	0	4	1	480	387	0	5	4	337	153	0	4	1
83	423	536	0	5	6	340	144	0	4	1	466	357	0.015	5	4	340	144	0	4	1
84	437	544	0	5	6	400	149	0	4	1	480	407	0	5	4	398	150	0.001	4	1
85	444	552	0	5	6	352	145	0	4	1	464	433	0	5	5	352	145	0	4	1
86	449	560	0	5	6	310	158	0	3	1	489	379	0	5	4	310	158	0	3	1
87	457	568	0	5	6	457	140	0	5	1	500	358	0	5	4	457	140	0	5	1
88	463	576	0	5	6	404	162	0	4	1	516	421	0	5	4	404	162	0	4	1
89	470	584	0	5	6	465	154	0	5	1	562	345	0	6	3	462	156	0	5	1
90	479	592	0	5	6	505	154	0	5	1	629	384	0	6	4	492	171	0	5	1
91	480	600	0	5	6	358	161	0	3	1	538	375	0	5	4	358	161	0	3	1
92	492	608	0	5	6	428	166	0	4	1	623	449	0	6	4	432	174	0	4	1
93	494	616	0	5	6	506	162	0	5	1	570	433	0	6	4	506	162	0	5	1
94	499	624	0	5	6	420	170	0	4	1	586	441	0	6	4	420	170	0	4	1
95	509	632	0	5	6	347	178	0	3	1	574	460	0	6	4	347	178	0	3	1
96	520	640	0	5	6	431	167	0	4	1	586	428	0	6	4	431	167	0	4	1
97	523	648	0	5	6	530	171	0	5	1	583	407	0	6	4	529	171	0	5	1
98	519	656	0	5	6	403	183	0	4	1	621	456	0	6	4	417	212	0	4	2
99	532	664	0	5	6	367	186	0	3	1	621	432	0	6	4	367	186	0	3	1
100	542	672	0	5	6	388	188	0	3	1	629	481	0	6	4	388	188	0	3	1
