Tablica	MergeSort-Porownania	MergeSort-Przestawienia	MergeSort-Czas	MergeSort-c/n	MergeSort-s/n	QuickSort-Porownania	QuickSort-Przestawienia	QuickSort-Czas	QuickSort-c/n	QuickSort-s/n	Dual-pivotQuickSort-Porownania	Dual-pivotQuickSort-Przestawienia	Dual-pivotQuickSort-Czas	Dual-pivotQuickSort-c/n	Dual-pivotQuickSort-s/n	Hybrid-Porownania	Hybrid-Przestawienia	Hybrid-Czas	Hybrid-c/n	Hybrid-s/n
5400	60292	67408	0.033	11	12	45114	17393	0.017	8	3	69115	37131	0.017	12	6	45114	17393	0.015	8	3
5500	61532	68808	0.067	11	12	54246	17441	0.015	9	3	72167	45478	0.016	13	8	54246	17441	0.017	9	3
5600	62748	70208	0.032	11	12	55336	17827	0.015	9	3	74419	44828	0.033	13	8	55336	17827	0.015	9	3
5700	64067	71608	0.033	11	12	52620	18412	0	9	3	77165	41155	0.031	13	7	52620	18412	0.016	9	3
5800	65279	73008	0.031	11	12	57233	18724	0.016	9	3	76453	48535	0.033	13	8	57233	18724	0.015	9	3
5900	66604	74408	0.033	11	12	57789	18963	0.033	9	3	74954	46658	0.031	12	7	57789	18963	0.015	9	3
6000	67806	75808	0.032	11	12	60515	19051	0.015	10	3	79679	49114	0.032	13	8	60515	19051	0.032	10	3
6100	69135	77208	0.016	11	12	59465	19642	0.015	9	3	81560	47925	0.031	13	7	59465	19642	0.017	9	3
6200	70481	78608	0.031	11	12	60052	19987	0.016	9	3	82453	45253	0.032	13	7	60052	19987	0.017	9	3
6300	71587	80008	0.047	11	12	65201	20288	0.017	10	3	84483	50276	0.031	13	7	65201	20288	0.015	10	3
6400	73022	81408	0.04	11	12	68736	20457	0.017	10	3	85428	47832	0.021	13	7	68736	20457	0.016	10	3
6500	74172	82808	0.032	11	12	63400	20928	0.031	9	3	85377	50885	0.032	13	7	63400	20928	0.015	9	3
6600	75583	84208	0.031	11	12	63534	21435	0.016	9	3	89465	51893	0.032	13	7	63534	21435	0.016	9	3
6700	76879	85608	0.031	11	12	62821	21930	0.016	9	3	90264	52267	0.032	13	7	62821	21930	0.016	9	3
6800	78082	87008	0.031	11	12	68644	21968	0.017	10	3	93711	55416	0.031	13	8	68644	21968	0.016	10	3
6900	79355	88408	0.032	11	12	67680	22553	0.02	9	3	98701	52562	0.033	14	7	67680	22553	0.015	9	3
7000	80658	89808	0.034	11	12	70515	22936	0.016	10	3	104382	57248	0.047	14	8	70515	22936	0.016	10	3
7100	82017	91208	0.031	11	12	76200	23091	0.032	10	3	93733	53338	0.016	13	7	76200	23091	0.031	10	3
7200	83299	92608	0.031	11	12	73875	23645	0.016	10	3	94805	56806	0.033	13	7	73875	23645	0.016	10	3
7300	84532	94008	0.051	11	12	70622	24127	0.015	9	3	101636	60478	0.032	13	8	70622	24127	0.015	9	3
7400	85769	95408	0.031	11	12	72184	24413	0.022	9	3	104366	59151	0.035	14	7	72184	24413	0.033	9	3
7500	87184	96808	0.032	11	12	71792	24703	0.017	9	3	105108	61628	0.046	14	8	71792	24703	0.016	9	3
7600	88467	98208	0.031	11	12	75109	25138	0.032	9	3	103529	59005	0.032	13	7	75109	25138	0.016	9	3
7700	89724	99608	0.031	11	12	73635	25435	0.031	9	3	108651	65056	0.031	14	8	73635	25435	0.016	9	3
7800	91086	101008	0.047	11	12	74611	25676	0.016	9	3	109185	68310	0.032	13	8	74611	25676	0.015	9	3
7900	92358	102408	0.04	11	12	80832	26201	0.034	10	3	107297	63799	0.033	13	8	80832	26201	0.032	10	3
8000	93750	103808	0.032	11	12	76518	26686	0.015	9	3	113918	66360	0.047	14	8	76518	26686	0.016	9	3
8100	95005	105208	0.047	11	12	81515	26827	0.016	10	3	113568	64445	0.032	14	7	81515	26827	0.031	10	3
8200	96219	106616	0.047	11	13	82576	27227	0.024	10	3	115714	71197	0.046	14	8	82576	27227	0.032	10	3
8300	97550	108116	0.066	11	13	82281	27565	0.038	9	3	117689	66229	0.046	14	7	82281	27565	0.017	9	3
8400	98853	109616	0.061	11	13	84145	28087	0.015	10	3	118140	65492	0.047	14	7	84145	28087	0.015	10	3
8500	100306	111116	0.057	11	13	95212	28099	0.032	11	3	121355	73924	0.033	14	8	95212	28099	0.046	11	3
8600	101560	112616	0.059	11	13	93219	28731	0.034	10	3	114716	62472	0.033	13	7	93219	28731	0.017	10	3
8700	102933	114116	0.048	11	13	91071	29113	0.031	10	3	125217	73239	0.044	14	8	91071	29113	0.016	10	3
8800	104201	115616	0.047	11	13	91885	29168	0.031	10	3	129333	68010	0.031	14	7	91885	29168	0.035	10	3
8900	105666	117116	0.048	11	13	89893	29819	0.017	10	3	131764	79615	0.049	14	8	89893	29819	0.032	10	3
9000	107000	118616	0.047	11	13	95331	30291	0.024	10	3	124418	78753	0.05	13	8	95331	30291	0.033	10	3
9100	108330	120116	0.047	11	13	93954	30588	0.031	10	3	134714	75600	0.047	14	8	93954	30588	0.016	10	3
9200	109675	121616	0.047	11	13	94393	30935	0.031	10	3	128739	77462	0.031	13	8	94393	30935	0.031	10	3
9300	110963	123116	0.047	11	13	97739	30890	0.033	10	3	132794	71080	0.031	14	7	97739	30890	0.04	10	3
9400	112275	124616	0.036	11	13	105895	31263	0.032	11	3	135410	75059	0.049	14	7	105895	31263	0.017	11	3
9500	113788	126116	0.047	11	13	93654	32258	0.032	9	3	141340	82895	0.051	14	8	93654	32258	0.031	9	3
9600	114978	127616	0.049	11	13	93893	32708	0.017	9	3	129724	73511	0.042	13	7	93893	32708	0.034	9	3
9700	116353	129116	0.05	11	13	113350	32317	0.031	11	3	142447	79717	0.042	14	8	113350	32317	0.031	11	3
9800	117704	130616	0.047	12	13	104793	33059	0.032	10	3	145355	83454	0.047	14	8	104793	33059	0.031	10	3
9900	119053	132116	0.05	12	13	114529	32908	0.031	11	3	141360	80031	0.031	14	8	114529	32908	0.031	11	3
10000	120466	133616	0.063	12	13	112606	33722	0.031	11	3	144184	80924	0.033	14	8	112606	33722	0.033	11	3
