Tablica	MergeSort-Porownania	MergeSort-Przestawienia	MergeSort-Czas	MergeSort-c/n	MergeSort-s/n	QuickSort-Porownania	QuickSort-Przestawienia	QuickSort-Czas	QuickSort-c/n	QuickSort-s/n	Dual-pivotQuickSort-Porownania	Dual-pivotQuickSort-Przestawienia	Dual-pivotQuickSort-Czas	Dual-pivotQuickSort-c/n	Dual-pivotQuickSort-s/n	Hybrid-Porownania	Hybrid-Przestawienia	Hybrid-Czas	Hybrid-c/n	Hybrid-s/n
24	83	112	0	3	4	73	33	0	3	1	83	98	0	3	4	74	35	0	3	1
25	88	118	0	3	4	60	35	0	2	1	100	84	0	4	3	60	35	0	2	1
26	92	124	0	3	4	69	36	0	2	1	94	95	0	3	3	69	36	0	2	1
27	95	130	0	3	4	54	38	0	2	1	112	91	0	4	3	61	52	0	2	1
28	99	136	0	3	4	66	45	0	2	1	129	107	0	4	3	66	45	0	2	1
29	104	142	0	3	4	107	36	0	3	1	122	87	0	4	3	109	40	0	3	1
30	115	148	0	3	4	75	41	0	2	1	122	116	0	4	3	75	41	0	2	1
31	118	154	0	3	4	102	46	0	3	1	127	115	0	4	3	103	48	0	3	1
32	122	160	0	3	5	102	45	0	3	1	169	145	0	5	4	108	57	0	3	1
33	127	167	0	3	5	153	47	0	4	1	137	125	0	4	3	152	51	0	4	1
34	131	174	0	3	5	129	50	0	3	1	155	152	0	4	4	129	50	0	3	1
35	139	181	0	3	5	95	52	0	2	1	147	109	0	4	3	97	62	0	2	1
36	142	188	0	3	5	101	52	0	2	1	219	143	0	6	3	106	61	0	2	1
37	145	195	0	3	5	140	51	0	3	1	165	144	0	4	3	142	62	0	3	1
38	158	202	0	4	5	84	60	0	2	1	164	150	0	4	3	84	60	0	2	1
39	157	209	0	4	5	118	65	0.007	3	1	179	155	0	4	3	118	65	0	3	1
40	158	216	0	3	5	168	63	0	4	1	183	160	0.001	4	4	169	69	0	4	1
41	166	223	0	4	5	126	61	0	3	1	184	166	0	4	4	122	65	0	2	1
42	176	230	0	4	5	187	61	0	4	1	190	178	0.001	4	4	190	65	0	4	1
43	189	237	0	4	5	133	67	0	3	1	215	171	0	5	3	133	67	0	3	1
44	191	244	0	4	5	173	66	0.001	3	1	221	184	0	5	4	173	66	0	3	1
45	197	251	0	4	5	144	68	0	3	1	274	171	0	6	3	144	68	0	3	1
46	199	258	0.001	4	5	178	76	0	3	1	204	187	0	4	4	179	77	0	3	1
47	207	265	0	4	5	206	73	0	4	1	247	208	0	5	4	206	76	0	4	1
48	205	272	0	4	5	215	74	0	4	1	226	186	0	4	3	215	74	0	4	1
49	217	279	0	4	5	169	79	0	3	1	256	185	0	5	3	169	79	0	3	1
50	223	286	0	4	5	177	75	0	3	1	253	192	0	5	3	177	75	0	3	1
51	227	293	0	4	5	222	84	0	4	1	270	215	0	5	4	222	84	0	4	1
52	240	300	0	4	5	229	82	0	4	1	268	227	0	5	4	229	82	0	4	1
53	248	307	0	4	5	266	79	0	5	1	258	216	0	4	4	267	81	0	5	1
54	254	314	0	4	5	198	86	0	3	1	284	231	0	5	4	201	94	0	3	1
55	246	321	0	4	5	242	92	0	4	1	279	221	0	5	4	242	98	0	4	1
56	258	328	0	4	5	219	87	0	3	1	289	250	0	5	4	220	92	0	3	1
57	262	335	0	4	5	254	95	0	4	1	294	247	0	5	4	253	96	0	4	1
58	268	342	0.009	4	5	213	93	0	3	1	267	231	0	4	3	213	93	0	3	1
59	271	349	0.001	4	5	226	97	0	3	1	307	241	0	5	4	226	97	0	3	1
60	284	356	0	4	5	240	99	0	4	1	321	256	0	5	4	240	99	0	4	1
61	286	363	0	4	5	297	98	0	4	1	337	266	0	5	4	296	98	0	4	1
62	292	370	0	4	5	244	103	0	3	1	307	291	0	4	4	245	109	0	3	1
63	308	377	0	4	5	244	103	0	3	1	403	284	0	6	4	241	110	0	3	1
64	307	384	0	4	6	262	108	0	4	1	371	264	0	5	4	264	118	0	4	1
65	316	392	0	4	6	285	109	0	4	1	356	305	0	5	4	283	111	0	4	1
66	319	400	0	4	6	262	111	0	3	1	341	280	0	5	4	257	117	0	3	1
67	322	408	0	4	6	254	114	0	3	1	373	281	0	5	4	254	114	0	3	1
68	323	416	0	4	6	248	118	0	3	1	344	333	0	5	4	248	118	0	3	1
69	338	424	0	4	6	222	122	0	3	1	374	276	0	5	4	222	122	0	3	1
70	341	432	0	4	6	291	118	0	4	1	370	293	0	5	4	288	127	0	4	1
71	358	440	0	5	6	291	122	0	4	1	401	332	0	5	4	291	122	0	4	1
72	364	448	0	5	6	293	120	0	4	1	405	338	0	5	4	293	120	0	4	1
73	353	456	0	4	6	264	131	0	3	1	380	340	0	5	4	264	131	0	3	1
74	368	464	0	4	6	383	120	0	5	1	387	323	0	5	4	382	122	0	5	1
75	376	472	0	5	6	325	126	0	4	1	388	365	0	5	4	325	126	0	4	1
76	385	480	0	5	6	309	139	0.015	4	1	426	310	0	5	4	309	139	0	4	1
77	376	488	0	4	6	390	130	0	5	1	421	341	0	5	4	390	130	0.001	5	1
78	397	496	0	5	6	478	132	0	6	1	512	369	0	6	4	477	132	0	6	1
79	404	504	0	5	6	288	140	0	3	1	450	359	0	5	4	288	140	0	3	1
80	407	512	0	5	6	280	140	0	3	1	444	322	0	5	4	280	140	0	3	1
81	420	520	0	5	6	410	147	0	5	1	498	411	0	6	5	410	147	0	5	1
82	420	528	0	5	6	299	146	0	3	1	483	310	0	5	3	299	146	0	3	1
83	434	536	0	5	6	391	147	0	4	1	549	420	0	6	5	391	147	0	4	1
84	425	544	0	5	6	485	146	0	5	1	452	418	0	5	4	488	149	0	5	1
85	440	552	0	5	6	280	153	0	3	1	487	339	0	5	3	280	153	0	3	1
86	452	560	0	5	6	306	161	0	3	1	487	403	0	5	4	306	161	0	3	1
87	443	568	0	5	6	397	156	0	4	1	502	349	0	5	4	397	156	0	4	1
88	472	576	0	5	6	348	164	0	3	1	484	440	0	5	5	348	164	0	3	1
89	476	584	0	5	6	404	146	0	4	1	490	384	0	5	4	404	146	0	4	1
90	474	592	0	5	6	382	166	0	4	1	514	437	0	5	4	382	166	0	4	1
91	474	600	0	5	6	314	165	0	3	1	622	465	0	6	5	314	165	0	3	1
92	477	608	0	5	6	468	163	0	5	1	518	443	0	5	4	468	163	0	5	1
93	486	616	0	5	6	436	163	0	4	1	559	418	0	6	4	436	163	0	4	1
94	496	624	0	5	6	424	170	0	4	1	565	398	0	6	4	424	170	0	4	1
95	512	632	0	5	6	401	176	0	4	1	567	440	0.012	5	4	401	176	0	4	1
96	514	640	0	5	6	405	171	0	4	1	582	495	0	6	5	405	171	0	4	1
97	519	648	0.001	5	6	380	182	0	3	1	603	380	0	6	3	380	182	0	3	1
98	520	656	0	5	6	411	180	0	4	1	690	481	0	7	4	411	180	0	4	1
99	535	664	0	5	6	500	184	0	5	1	571	431	0	5	4	500	184	0	5	1
100	552	672	0	5	6	426	184	0	4	1	567	446	0	5	4	426	184	0	4	1
