Tablica	MergeSort-Porownania	MergeSort-Przestawienia	MergeSort-Czas	MergeSort-c/n	MergeSort-s/n	QuickSort-Porownania	QuickSort-Przestawienia	QuickSort-Czas	QuickSort-c/n	QuickSort-s/n	Dual-pivotQuickSort-Porownania	Dual-pivotQuickSort-Przestawienia	Dual-pivotQuickSort-Czas	Dual-pivotQuickSort-c/n	Dual-pivotQuickSort-s/n	Hybrid-Porownania	Hybrid-Przestawienia	Hybrid-Czas	Hybrid-c/n	Hybrid-s/n
1	0	0	0	0	0	0	1	0	0	1	1	4	0	1	4	0	1	0	0	1
2	1	2	0	0	1	0	1	0	0	0	1	4	0	0	2	0	1	0	0	0
3	3	5	0	1	1	2	2	0	0	0	3	9	0	1	3	1	2	0	0	0
4	5	8	0	1	2	2	3	0	0	0	6	13	0	1	3	5	6	0	1	1
5	7	12	0	1	2	6	4	0	1	0	8	15	0	1	3	5	6	0	1	1
6	9	16	0	1	2	9	5	0	1	0	15	17	0	2	2	5	6	0	0	1
7	14	20	0	2	2	8	7	0	1	1	14	25	0	2	3	15	16	0	2	2
8	16	24	0	2	3	10	7	0	1	0	19	27	0	2	3	2	9	0	0	1
9	19	29	0	2	3	13	9	0	1	1	22	28	0	2	3	13	17	0	1	1
10	21	34	0	2	3	13	11	0	1	1	40	31	0	4	3	6	16	0	0	1
11	28	39	0	2	3	17	13	0	1	1	32	38	0	2	3	23	30	0	2	2
12	30	44	0	2	3	31	12	0	2	1	37	40	0	3	3	30	12	0.001	2	1
13	33	49	0	2	3	32	14	0	2	1	37	41	0	2	3	33	16	0	2	1
14	38	54	0	2	3	22	15	0	1	1	45	49	0	3	3	18	28	0	1	2
15	42	59	0	2	3	33	17	0	2	1	47	50	0	3	3	34	18	0	2	1
16	45	64	0	2	4	39	19	0	2	1	46	58	0	2	3	42	24	0	2	1
17	51	70	0	3	4	32	21	0	1	1	50	67	0	2	3	35	30	0	2	1
18	51	76	0	2	4	40	19	0.001	2	1	58	66	0	3	3	37	26	0	2	1
19	61	82	0	3	4	39	25	0	2	1	60	58	0	3	3	37	32	0	1	1
20	62	88	0	3	4	71	27	0	3	1	64	72	0	3	3	72	29	0	3	1
21	71	94	0	3	4	42	27	0	2	1	76	71	0	3	3	42	27	0	2	1
22	73	100	0	3	4	59	27	0	2	1	85	72	0	3	3	60	29	0.001	2	1
23	78	106	0	3	4	58	34	0	2	1	85	94	0	3	4	58	34	0	2	1
